mario.nes, mario.sjpg, Mario Bros.
super_mario_1.nes, super_mario_bros_1.sjpg, Super Mario Bros.
super_mario_3.nes, super_mario_bros_3.sjpg, Super Mario Bros. 3
zelda.nes, zelda1.sjpg, The Legend of Zelda
zelda_2.nes, zelda2.sjpg, The Legend of Zelda 2: the Adventure of Link
mega_man.nes, megaman1.sjpg, MegaMan
metroid.nes, metroid1.sjpg, Metroid
pokemon_blue.gb, pokemon_blue.sjpg, Pokemon Blue
pokemon_red.gb, pokemon_red.sjpg, Pokemon Red
pokemon_yellow.gbc, pokemon_yellow.sjpg, Pokemon Yellow
links_awakening.gb, tloz_links_awakening.sjpg, The Legend of Zelda: Link's Awakening
links_awakening.gbc, tloz_links_awakening_dx.sjpg, The Legend of Zelda: Link's Awakening DX
